timestamp,USDJPY,EURUSD
1697185953.0159395,0.0,0.0
1697186013.0283186,0.0,0.0
1697186073.030483,0.0,0.0
1697186133.0419075,0.0,0.0
1697186193.0454726,0.0,0.0
1697186253.0487294,0.0,0.0
1697186313.060638,0.0,0.0
1697186373.070439,0.0,0.0
1697186433.0776558,0.0,0.0
1697186493.0806236,0.0,0.0
1697186553.0917273,0.0,0.0
1697186613.093316,0.0,0.0
1697186673.1040843,0.0,0.0
1697186733.1189303,0.0,0.0
1697186793.1207209,0.0,0.0
1697186853.134482,0.0,0.0
1697186913.1359565,0.0,0.0
1697186973.1444273,0.0,0.0
1697187033.159228,0.0,0.0
1697187093.173795,0.0,0.0
1697187153.174158,0.0,0.0
1697187213.1819787,0.0,0.0
1697187273.197649,0.0,0.0
1697187333.2015216,0.0,0.0
1697187393.2100587,0.0,0.0
1697187453.2250414,0.0,0.0
1697187513.237056,0.0,0.0
1697187573.2466433,0.0,0.0
1697187633.25605,0.0,0.0
1697187693.264211,0.0,0.0
1697187753.2643626,0.0,0.0
1697187813.2684495,0.0,0.0
1697187873.270613,0.0,0.0
1697187933.279848,0.0,0.0
1697187993.2810783,0.0,0.0
1697188053.2960317,0.0,0.0
1697188113.3043346,0.0,0.0
1697188173.3192122,0.0,0.0
1697188233.3214457,0.0,0.0
1697188293.326742,0.0,0.0
1697188353.3344905,0.0,0.0
1697188413.337165,0.0,0.0
1697188473.3402221,0.0,0.0
1697188533.350288,0.0,0.0
1697188593.3620486,0.0,0.0
1697188653.3759456,0.0,0.0
1697188713.3886616,0.0,0.0
1697188773.393075,0.0,0.0
1697188833.4019618,0.0,0.0
1697188893.406462,0.0,0.0
1697188953.422715,0.0,0.0
1697189013.4359655,0.0,0.0
1697189073.4409287,0.0,0.0
1697189133.4519331,0.0,0.0
1697189193.4640405,0.0,0.0
1697189253.4741445,0.0,0.0
1697189313.478538,0.0,0.0
1697189373.4809387,0.0,0.0
1697189433.4818394,0.0,0.0
1697189493.4883687,0.0,0.0
1697189553.494206,0.0,0.0
1697189613.5099452,0.0,0.0
1697189673.5244892,0.0,0.0
1697189733.5282786,0.0,0.0
1697189793.530271,0.0,0.0
1697189853.5367174,0.0,0.0
1697189913.5485408,0.0,0.0
1697189973.5548365,0.0,0.0
1697190033.568521,0.0,0.0
1697190093.5803435,0.0,0.0
1697190153.5880578,0.0,0.0
1697190213.5999584,0.0,0.0
1697190273.6066878,0.0,0.0
1697190333.614626,0.0,0.0
1697190393.626218,0.0,0.0
1697190453.640784,0.0,0.0
1697190513.6543574,0.0,0.0
1697190573.6565032,0.0,0.0
1697190633.6597447,0.0,0.0
1697190693.6614974,0.0,0.0
1697190753.6689024,0.0,0.0
1697190813.6759996,0.0,0.0
1697190873.6820254,0.0,0.0
1697190933.6940923,0.0,0.0
1697190993.7082758,0.0,0.0
1697191053.722094,0.0,0.0
1697191113.7286913,0.0,0.0
1697191173.7442937,0.0,0.0
1697191233.7480679,0.0,0.0
1697191293.751822,0.0,0.0
1697191353.7546406,0.0,0.0
1697191413.764643,0.0,0.0
1697191473.771858,0.0,0.0
1697191533.7809448,0.0,0.0
1697191593.7841053,0.0,0.0
1697191653.7923641,0.0,0.0
1697191713.7998073,0.0,0.0
1697191773.8096344,0.0,0.0
1697191833.8104434,0.0,0.0
1697191893.8167949,0.0,0.0
1697191953.8279674,0.0,0.0
1697192013.8342357,0.0,0.0
1697192073.850198,0.0,0.0
1697192133.8541996,0.0,0.0
1697192193.8664176,0.0,0.0
1697192253.8801098,0.0,0.0
1697192313.8931696,0.0,0.0
1697192373.8980412,0.0,0.0
1697192433.906376,0.0,0.0
1697192493.91445,0.0,0.0
1697192553.9259799,0.0,0.0
1697192613.9355578,0.0,0.0
